Crocidura beccarii
Crocidura brunnea
Crocidura elongata
Crocidura foetida
Crocidura fuliginosa
Crocidura lea
Crocidura lepidura
Crocidura levicula
Crocidura mindorus
Crocidura musseri
Crocidura nigripes
Crocidura paradoxura
Crocidura rhoditis
Aethomys sp.
Arvicanthis abyssinicus
Arvicanthis dembeensis
Arvicanthis niloticus
Arvicanthis somalicus
Arvicanthis sp.
Lemniscomys bellieri
Papio sp.
Erinaceus sp.
Macrotarsomys ingens
Capra sp.
Felis chaus
Felis silvestris lybica
Felis margarita
Felis nigripes
Leopardus wiedii
Lynx canadensis
Lynx rufus
Leopardus guigna
Prionailurus rubiginosus
Prionailurus viverrinus
Caracal caracal
Galidia elegans
Prionailurus planiceps
Leptailurus serval
Otocolobus manul
Pardofelis marmorata
Profelis aurata
Neofelis nebulosa
Catopuma badia
Catopuma temminckii
Trachypithecus phayrei
Rhinopithecus bieti
Rhinopithecus roxellana
Apodemus argenteus
Hoolock hoolock
Nomascus gabriellae
Nomascus leucogenys
Plecotus auritus
Ctenomys conoveri
Ctenomys frater
Ctenomys goodfellowi
Ctenomys haigi
Ctenomys leucodon
Ctenomys lewisi
Ctenomys mendocinus
Ctenomys opimus
Ctenomys steinbachi
Spalacopus cyanus
Tympanoctomys barrerae
Sorex daphaenodon
Sorex gracillimus
Sorex minutissimus
Sorex unguiculatus
Sorex caecutiens
Crocidura dsinezumi
Sorex hosonoi
Sorex minutus
Sorex isodon
Neomys fodiens
Sorex fumeus
Sorex raddei
Sorex shinto sadonis
Sorex shinto
Sorex tundrensis
Sorex roboratus
Sorex mirabilis
Episoriculus caudatus
